timestamp,sensor_id,location,reading_mv,temperature_c
2026-05-01 00:00:00,beam-1a,Beam 1A,118.7943,9.52
2026-05-01 00:00:00,beam-1b,Beam 1B,119.0557,9.52
2026-05-01 00:00:00,beam-2a,Beam 2A,120.5282,9.52
2026-05-01 00:00:00,beam-2b,Beam 2B,119.4715,9.52
2026-05-01 00:00:00,beam-3a,Beam 3A,118.1721,9.52
2026-05-01 00:00:00,beam-3b,Beam 3B,117.5332,9.52
2026-05-01 00:00:00,pier-cap-1,Pier Cap 1,94.827,9.52
2026-05-01 00:00:00,pier-cap-2,Pier Cap 2,95.209,9.52
2026-05-01 01:00:00,beam-1a,Beam 1A,119.3123,8.6
2026-05-01 01:00:00,beam-1b,Beam 1B,118.457,8.6
2026-05-01 01:00:00,beam-2a,Beam 2A,120.4104,8.6
2026-05-01 01:00:00,beam-2b,Beam 2B,119.879,8.6
2026-05-01 01:00:00,beam-3a,Beam 3A,118.1121,8.6
2026-05-01 01:00:00,beam-3b,Beam 3B,117.7877,8.6
2026-05-01 01:00:00,pier-cap-1,Pier Cap 1,94.4989,8.6
2026-05-01 01:00:00,pier-cap-2,Pier Cap 2,94.4456,8.6
2026-05-01 02:00:00,beam-1a,Beam 1A,118.8687,8.07
2026-05-01 02:00:00,beam-1b,Beam 1B,118.2504,8.07
2026-05-01 02:00:00,beam-2a,Beam 2A,119.8377,8.07
2026-05-01 02:00:00,beam-2b,Beam 2B,119.6328,8.07
2026-05-01 02:00:00,beam-3a,Beam 3A,117.47,8.07
2026-05-01 02:00:00,beam-3b,Beam 3B,118.1046,8.07
2026-05-01 02:00:00,pier-cap-1,Pier Cap 1,94.2283,8.07
2026-05-01 02:00:00,pier-cap-2,Pier Cap 2,95.3867,8.07
2026-05-01 03:00:00,beam-1a,Beam 1A,118.645,7.88
2026-05-01 03:00:00,beam-1b,Beam 1B,118.2729,7.88
2026-05-01 03:00:00,beam-2a,Beam 2A,120.3657,7.88
2026-05-01 03:00:00,beam-2b,Beam 2B,118.9207,7.88
2026-05-01 03:00:00,beam-3a,Beam 3A,117.646,7.88
2026-05-01 03:00:00,beam-3b,Beam 3B,117.4372,7.88
2026-05-01 03:00:00,pier-cap-1,Pier Cap 1,94.3649,7.88
2026-05-01 03:00:00,pier-cap-2,Pier Cap 2,95.0705,7.88
2026-05-01 04:00:00,beam-1a,Beam 1A,118.9425,8.16
2026-05-01 04:00:00,beam-1b,Beam 1B,118.4475,8.16
2026-05-01 04:00:00,beam-2a,Beam 2A,119.9789,8.16
2026-05-01 04:00:00,beam-2b,Beam 2B,119.9342,8.16
2026-05-01 04:00:00,beam-3a,Beam 3A,117.5203,8.16
2026-05-01 04:00:00,beam-3b,Beam 3B,117.5327,8.16
2026-05-01 04:00:00,pier-cap-1,Pier Cap 1,94.1945,8.16
2026-05-01 04:00:00,pier-cap-2,Pier Cap 2,95.0651,8.16
2026-05-01 05:00:00,beam-1a,Beam 1A,118.0741,8.4
2026-05-01 05:00:00,beam-1b,Beam 1B,118.9717,8.4
2026-05-01 05:00:00,beam-2a,Beam 2A,120.0663,8.4
2026-05-01 05:00:00,beam-2b,Beam 2B,120.1657,8.4
2026-05-01 05:00:00,beam-3a,Beam 3A,117.2308,8.4
2026-05-01 05:00:00,beam-3b,Beam 3B,117.67,8.4
2026-05-01 05:00:00,pier-cap-1,Pier Cap 1,94.3508,8.4
2026-05-01 05:00:00,pier-cap-2,Pier Cap 2,94.3887,8.4
2026-05-01 06:00:00,beam-1a,Beam 1A,118.9886,9.46
2026-05-01 06:00:00,beam-1b,Beam 1B,118.7516,9.46
2026-05-01 06:00:00,beam-2a,Beam 2A,120.6374,9.46
2026-05-01 06:00:00,beam-2b,Beam 2B,121.0043,9.46
2026-05-01 06:00:00,beam-3a,Beam 3A,117.9714,9.46
2026-05-01 06:00:00,beam-3b,Beam 3B,118.1488,9.46
2026-05-01 06:00:00,pier-cap-1,Pier Cap 1,95.3552,9.46
2026-05-01 06:00:00,pier-cap-2,Pier Cap 2,94.832,9.46
2026-05-01 07:00:00,beam-1a,Beam 1A,120.0588,11.44
2026-05-01 07:00:00,beam-1b,Beam 1B,119.2138,11.44
2026-05-01 07:00:00,beam-2a,Beam 2A,120.137,11.44
2026-05-01 07:00:00,beam-2b,Beam 2B,120.2321,11.44
2026-05-01 07:00:00,beam-3a,Beam 3A,118.9177,11.44
2026-05-01 07:00:00,beam-3b,Beam 3B,118.157,11.44
2026-05-01 07:00:00,pier-cap-1,Pier Cap 1,94.9211,11.44
2026-05-01 07:00:00,pier-cap-2,Pier Cap 2,95.7832,11.44
2026-05-01 08:00:00,beam-1a,Beam 1A,119.6344,12.71
2026-05-01 08:00:00,beam-1b,Beam 1B,119.5973,12.71
2026-05-01 08:00:00,beam-2a,Beam 2A,121.6811,12.71
2026-05-01 08:00:00,beam-2b,Beam 2B,120.4268,12.71
2026-05-01 08:00:00,beam-3a,Beam 3A,118.6736,12.71
2026-05-01 08:00:00,beam-3b,Beam 3B,118.3785,12.71
2026-05-01 08:00:00,pier-cap-1,Pier Cap 1,95.1918,12.71
2026-05-01 08:00:00,pier-cap-2,Pier Cap 2,96.8021,12.71
2026-05-01 09:00:00,beam-1a,Beam 1A,119.8599,14.09
2026-05-01 09:00:00,beam-1b,Beam 1B,119.0267,14.09
2026-05-01 09:00:00,beam-2a,Beam 2A,121.3908,14.09
2026-05-01 09:00:00,beam-2b,Beam 2B,120.4741,14.09
2026-05-01 09:00:00,beam-3a,Beam 3A,118.8365,14.09
2026-05-01 09:00:00,beam-3b,Beam 3B,118.3561,14.09
2026-05-01 09:00:00,pier-cap-1,Pier Cap 1,95.0518,14.09
2026-05-01 09:00:00,pier-cap-2,Pier Cap 2,96.1218,14.09
2026-05-01 10:00:00,beam-1a,Beam 1A,120.3643,15.96
2026-05-01 10:00:00,beam-1b,Beam 1B,120.0367,15.96
2026-05-01 10:00:00,beam-2a,Beam 2A,122.204,15.96
2026-05-01 10:00:00,beam-2b,Beam 2B,121.3751,15.96
2026-05-01 10:00:00,beam-3a,Beam 3A,119.0956,15.96
2026-05-01 10:00:00,beam-3b,Beam 3B,118.9819,15.96
2026-05-01 10:00:00,pier-cap-1,Pier Cap 1,95.8497,15.96
